"from","to","shared_paths","congruence","ts"
"CoCivium-outreach","CoCivium-website","9","0.551","2025-10-09T20:59:56"
"CoCivium-outreach","CoCache","9","0.551","2025-10-09T20:59:56"
"CoCivium.clean","CoCache","6","0.523","2025-10-09T20:59:57"
"CoCivium","Civium-Constitution","9","0.519","2025-10-09T20:59:55"
"Civium-Constitution","GIBindex","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","rickballard","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","opename-ops","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","EntMent","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","CoRef","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","InSeed","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","RickPublic","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","CoCache","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","CoModules","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","Godspawn","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","GroupBuild-website","1","0.503","2025-10-09T20:59:54"
"Civium-Constitution","CoAgent__mvp3_resume-20250923-111953Z","1","0.503","2025-10-09T20:59:54"
"CoCivium","CoCivium-website","8","0.462","2025-10-09T20:59:55"
"CoCache","CoCivium","10","0.446","2025-10-09T20:59:54"
"CoCivium.clean","Civium-Constitution","5","0.436","2025-10-09T20:59:57"
"CoCache","CoCivium-outreach","9","0.402","2025-10-09T20:59:54"
"Civium","MeritRank","1","0.368","2025-10-09T20:59:54"
"Civium","opename-ops","1","0.368","2025-10-09T20:59:54"
"Civium","InSeed","1","0.368","2025-10-09T20:59:54"
"CoCivium-outreach","MeritRank","6","0.368","2025-10-09T20:59:57"
"Civium","EntMent","1","0.368","2025-10-09T20:59:54"
"Civium","CoPolitic","1","0.368","2025-10-09T20:59:54"
"Civium","CoModules","1","0.368","2025-10-09T20:59:54"
"Civium","CoLaminar","1","0.368","2025-10-09T20:59:54"
"Civium","CoAgent__mvp3_resume-20250923-111953Z","1","0.368","2025-10-09T20:59:53"
"Civium","rickballard","1","0.368","2025-10-09T20:59:54"
"Civium","CoAgent","1","0.368","2025-10-09T20:59:53"
"Civium","RickPublic","1","0.368","2025-10-09T20:59:54"
"Civium","CoRef","1","0.368","2025-10-09T20:59:54"
"Civium","GroupBuild-website","1","0.368","2025-10-09T20:59:54"
"Civium","Godspawn","1","0.368","2025-10-09T20:59:54"
"Civium","Opename","1","0.368","2025-10-09T20:59:54"
"CoCivium.clean","MeritRank","4","0.348","2025-10-09T20:59:57"
"CoCivium.clean","CoPolitic","4","0.348","2025-10-09T20:59:57"
"CoCivium","MeritRank","6","0.346","2025-10-09T20:59:56"
"CoCache","CoCivium.clean","6","0.268","2025-10-09T20:59:55"
"CoCache","CoLaminar","6","0.268","2025-10-09T20:59:55"
"CoCache","GIBindex","6","0.268","2025-10-09T20:59:55"
"CoCache","CoAgent","6","0.268","2025-10-09T20:59:54"
"CoCivium.clean","Opename","3","0.261","2025-10-09T20:59:57"
"CoCivium-outreach","Opename","4","0.245","2025-10-09T20:59:57"
"CoCivium-outreach","CoPolitic","4","0.245","2025-10-09T20:59:57"
"CoCivium","Opename","4","0.231","2025-10-09T20:59:56"
"CoCivium","CoPolitic","4","0.231","2025-10-09T20:59:56"
"CoCache","CoAgent__mvp3_resume-20250923-111953Z","5","0.223","2025-10-09T20:59:54"
"CoCache","CoModules","5","0.223","2025-10-09T20:59:55"
"CoCivium-outreach","GroupBuild-website","3","0.184","2025-10-09T20:59:57"
"CoCivium.clean","GroupBuild-website","2","0.174","2025-10-09T20:59:57"
"CoCivium.clean","InSeed","2","0.174","2025-10-09T20:59:57"
"CoCivium.clean","Civium","2","0.174","2025-10-09T20:59:57"
"CoCivium","GroupBuild-website","3","0.173","2025-10-09T20:59:56"
"CoCache","MeritRank","3","0.134","2025-10-09T20:59:55"
"CoCache","Civium","3","0.134","2025-10-09T20:59:54"
"CoCivium-outreach","Godspawn","2","0.123","2025-10-09T20:59:57"
"CoCivium-outreach","InSeed","2","0.123","2025-10-09T20:59:57"
"CoCivium-outreach","opename-ops","2","0.123","2025-10-09T20:59:57"
"CoCivium","opename-ops","2","0.115","2025-10-09T20:59:56"
"CoCivium","InSeed","2","0.115","2025-10-09T20:59:56"
"CoCivium","Godspawn","2","0.115","2025-10-09T20:59:56"
"CoCache","RickPublic","2","0.089","2025-10-09T20:59:55"
"CoCache","opename-ops","2","0.089","2025-10-09T20:59:55"
"CoCache","InSeed","2","0.089","2025-10-09T20:59:55"
"CoCache","Opename","2","0.089","2025-10-09T20:59:55"
"CoCache","CoPolitic","2","0.089","2025-10-09T20:59:55"
"CoCache","GroupBuild-website","2","0.089","2025-10-09T20:59:55"
"CoCivium.clean","rickballard","1","0.087","2025-10-09T20:59:57"
"CoCivium.clean","EntMent","1","0.087","2025-10-09T20:59:57"
"CoCivium.clean","CoRef","1","0.087","2025-10-09T20:59:57"
"CoCivium.clean","RickPublic","1","0.087","2025-10-09T20:59:57"
"CoCivium.clean","opename-ops","1","0.087","2025-10-09T20:59:57"
"CoCivium.clean","Godspawn","1","0.087","2025-10-09T20:59:57"
"CoCivium-outreach","RickPublic","1","0.061","2025-10-09T20:59:57"
"CoCivium-outreach","rickballard","1","0.061","2025-10-09T20:59:57"
"CoCivium-outreach","CoRef","1","0.061","2025-10-09T20:59:57"
"CoCivium-outreach","EntMent","1","0.061","2025-10-09T20:59:57"
"CoCivium","CoRef","1","0.058","2025-10-09T20:59:56"
"CoCivium","EntMent","1","0.058","2025-10-09T20:59:56"
"CoCivium","rickballard","1","0.058","2025-10-09T20:59:56"
"CoCivium","RickPublic","1","0.058","2025-10-09T20:59:56"
"CoCache","Godspawn","1","0.045","2025-10-09T20:59:55"
"CoCache","CoRef","1","0.045","2025-10-09T20:59:55"
"CoCache","rickballard","1","0.045","2025-10-09T20:59:55"
"CoCache","EntMent","1","0.045","2025-10-09T20:59:55"
"CoCache","Civium-Constitution","1","0.045","2025-10-09T20:59:54"
"CoCache","CoCivium-website","1","0.045","2025-10-09T20:59:54"
